성별,연령,체형명,(101)머리위로뻗은주먹높이,(102)키,(103)눈높이,(104)목뒤높이,(105)어깨높이,(106)어깨가쪽높이,(107)겨드랑높이,(108)굽힌팔꿈치높이,(109)엉덩이높이,(110)샅높이,(111)주먹높이,(112)허리높이,(113)배꼽수준허리높이,(114)위앞엉덩뼈가시높이,(115)무릎높이,(116)가슴너비,(117)젖가슴너비,(118)허리너비,(119)배꼽수준허리너비,(120)엉덩이너비,(121)겨드랑두께,(122)가슴두께,(123)젖가슴두께,(124)허리두께,(125)배꼽수준허리두께,(126)엉덩이두께,(127)엉덩이수직길이,(128)몸통수직길이,(129)벽면앞으로뻗은주먹수평길이,(130)벽면몸통두께,(131)벽면어깨수평길이,(132)몸무게,(201)앞중심길이,(202)배꼽수준앞중심길이,(203)겨드랑앞벽사이길이,(204)겨드랑앞접힘사이길이,(205)젖꼭지사이수평길이(여),(206)목둘레,(207)목밑둘레,(208)가슴둘레,(209)젖가슴둘레,(210)젖가슴아래둘레(여),(211)허리둘레,(212)배꼽수준허리둘레,(213)엉덩이둘레,(214)넙다리둘레,(215)넙다리중간둘레,(216)무릎둘레,(217)무릎아래둘레,(218)장딴지둘레,(219)종아리최소둘레,(220)발목최대둘레,(221)어깨길이,(222)목뒤등뼈위겨드랑수준길이,(223)등길이,(224)배꼽수준등길이,(225)목뒤오금길이,(226)총길이,(227)넙다리길이,(228)어깨사이길이,(229)겨드랑뒤벽사이길이,(230)겨드랑뒤벽접힘사이길이,(231)목뒤젖꼭지길이,(232)목뒤젖꼭지허리둘레선길이,(233)목옆젖꼭지길이(여),(234)목옆젖꼭지허리둘레선길이,(235)위팔길이,(236)팔길이,(237)팔안쪽길이,(238)목뒤손목안쪽길이,(239)겨드랑둘레,(240)위팔둘레,(241)팔꿈치둘레,(242)손목둘레,(243)엉덩이옆길이,(244)다리가쪽길이,(245)몸통세로둘레,(246)샅앞뒤길이,(247)배꼽수준샅앞뒤길이,(301)앉은키,(302)앉은눈높이,(303)앉은목뒤높이,(304)앉은어깨높이,(305)앉은팔꿈치높이,(306)앉은넙다리높이,(307)앉은무릎높이,(308)앉은오금높이,(309)앉은엉덩이무릎수평길이,(310)앉은엉덩이오금수평길이,(311)앉은엉덩이배두께,(312)위팔수직길이,(313)아래팔수평길이,(314)팔꿈치손끝수평길이,(315)팔꿈치주먹수평길이,(316)앉은배두께,(317)어깨너비,(318)위팔사이너비,(319)팔꿈치사이너비,(320)앉은엉덩이너비,(401)머리두께,(402)머리너비,(403)머리수직길이,(404)얼굴수직길이,(405)머리둘레,(406)귀구슬사이머리위길이,(407)눈살뒤통수길이,(408)눈동자사이너비,(409)손직선길이,(410)손바닥직선길이,(411)손너비,(412)둘째손가락직선길이,(413)둘째손가락첫째관절너비,(414)둘째손가락둘째관절너비,(415)손두께,(416)막대쥔손안둘레,(417)손둘레,(418)발너비,(419)발직선길이,(420)가쪽복사높이
남성,20대,작은 역삼각체형,2041.0,1729.0,1613.0,1472.0,1395.0,1405.0,1282.0,1051.0,846.0,792.0,764.0,1068.0,1018.0,923.0,442.0,315.0,304.0,272.0,284.0,329.0,117.0,208.0,214.0,200.0,197.0,238.0,276.0,681.0,703.0,219.0,91.0,68.9,349.0,402.0,367.0,364.0,,371.0,,956.0,909.0,,776.0,794.0,942.0,561.0,514.0,371.0,347.0,377.0,223.0,260.0,139.0,196.0,420.0,468.0,1029.0,1487.0,296.0,437.0,406.0,392.0,350.0,518.0,,431.0,338.0,581.0,475.0,837.0,430.0,299.0,282.0,165.0,210.0,1067.0,1605.0,766.0,663.0,931.0,814.0,678.0,598.0,256.0,156.0,516.0,406.0,576.0,468.0,224.0,341.0,271.0,455.0,333.0,215.0,402.0,470.0,479.0,348.0,185.0,161.0,235.0,122.0,574.0,383.0,370.0,55.0,186.0,107.0,83.0,70.0,19.0,16.0,26.0,103.0,203.0,100.0,255.0,69.0
남성,20대,큰 삼각체형,2049.0,1735.0,1620.0,1479.0,1403.0,1413.0,1289.0,1059.0,850.0,793.0,767.0,1074.0,1024.0,931.0,441.0,314.0,301.0,272.0,286.0,331.0,117.0,208.0,215.0,202.0,199.0,238.0,281.0,686.0,709.0,222.0,93.0,69.3,348.0,401.0,366.0,365.0,,372.0,,956.0,908.0,,781.0,801.0,944.0,566.0,515.0,370.0,346.0,375.0,222.0,259.0,140.0,193.0,423.0,469.0,1033.0,1492.0,297.0,437.0,407.0,391.0,350.0,517.0,,430.0,336.0,581.0,476.0,834.0,430.0,300.0,282.0,164.0,213.0,1074.0,1610.0,762.0,661.0,934.0,818.0,680.0,601.0,258.0,156.0,519.0,408.0,579.0,472.0,226.0,341.0,271.0,455.0,333.0,216.0,401.0,470.0,477.0,348.0,186.0,160.0,234.0,121.0,574.0,381.0,372.0,57.0,186.0,107.0,83.0,70.0,19.0,16.0,26.0,103.0,203.0,100.0,254.0,69.0
남성,20대,사각체형,2047.0,1732.0,1617.0,1475.0,1398.0,1409.0,1286.0,1055.0,852.0,796.0,766.0,1069.0,1021.0,930.0,446.0,313.0,301.0,270.0,284.0,329.0,117.0,206.0,214.0,200.0,198.0,237.0,272.0,679.0,706.0,220.0,93.0,69.0,349.0,400.0,364.0,360.0,,371.0,,954.0,907.0,,776.0,795.0,941.0,563.0,517.0,371.0,348.0,377.0,223.0,260.0,137.0,193.0,423.0,469.0,1033.0,1488.0,298.0,436.0,406.0,389.0,348.0,517.0,,430.0,337.0,580.0,478.0,836.0,427.0,301.0,283.0,164.0,211.0,1069.0,1602.0,757.0,659.0,931.0,815.0,677.0,597.0,256.0,156.0,519.0,408.0,577.0,470.0,223.0,341.0,273.0,457.0,334.0,216.0,401.0,469.0,473.0,347.0,185.0,161.0,235.0,122.0,573.0,383.0,372.0,56.0,186.0,107.0,83.0,70.0,19.0,16.0,26.0,103.0,204.0,100.0,255.0,69.0
여성,20대,작은 역삼각체형,1870.0,1588.0,1477.0,1346.0,1271.0,1282.0,1177.0,961.0,775.0,720.0,702.0,987.0,933.0,854.0,405.0,267.0,263.0,231.0,264.0,318.0,88.0,174.0,201.0,167.0,173.0,201.0,267.0,626.0,658.0,213.0,88.0,50.5,318.0,375.0,319.0,310.0,171.0,,362.0,803.0,800.0,700.0,655.0,725.0,891.0,523.0,459.0,341.0,317.0,333.0,204.0,230.0,127.0,169.0,376.0,430.0,955.0,1366.0,274.0,399.0,361.0,340.0,319.0,466.0,244.0,390.0,306.0,532.0,438.0,753.0,354.0,246.0,240.0,144.0,224.0,997.0,1446.0,704.0,596.0,858.0,746.0,620.0,549.0,236.0,130.0,477.0,374.0,539.0,444.0,202.0,310.0,248.0,416.0,306.0,188.0,360.0,401.0,388.0,341.0,178.0,152.0,222.0,113.0,550.0,363.0,354.0,53.0,175.0,102.0,75.0,65.0,17.0,15.0,24.0,98.0,178.0,91.0,231.0,61.0
여성,20대,큰 삼각체형,1868.0,1587.0,1476.0,1354.0,1283.0,1296.0,1181.0,972.0,777.0,718.0,710.0,990.0,930.0,855.0,407.0,291.0,294.0,263.0,299.0,335.0,105.0,195.0,234.0,202.0,206.0,229.0,272.0,635.0,670.0,249.0,96.0,61.1,328.0,388.0,323.0,324.0,186.0,,380.0,888.0,906.0,769.0,762.0,830.0,956.0,576.0,509.0,363.0,337.0,360.0,214.0,242.0,130.0,180.0,390.0,447.0,971.0,1380.0,275.0,408.0,381.0,368.0,351.0,486.0,276.0,411.0,313.0,540.0,433.0,775.0,393.0,285.0,262.0,152.0,226.0,1000.0,1510.0,737.0,621.0,859.0,748.0,627.0,559.0,245.0,147.0,484.0,371.0,550.0,453.0,232.0,311.0,248.0,418.0,310.0,227.0,365.0,435.0,440.0,362.0,176.0,153.0,224.0,116.0,552.0,363.0,347.0,54.0,177.0,103.0,78.0,65.0,17.0,15.0,24.0,93.0,184.0,94.0,233.0,62.0
여성,20대,역삼각체형,1886.0,1604.0,1493.0,1363.0,1295.0,1304.0,1196.0,982.0,778.0,722.0,725.0,998.0,941.0,863.0,407.0,275.0,268.0,235.0,265.0,324.0,93.0,180.0,205.0,172.0,177.0,207.0,276.0,642.0,659.0,212.0,96.0,53.5,324.0,379.0,330.0,317.0,170.0,,362.0,826.0,817.0,724.0,672.0,738.0,914.0,536.0,469.0,345.0,318.0,338.0,207.0,233.0,133.0,169.0,385.0,438.0,962.0,1376.0,274.0,411.0,375.0,351.0,328.0,478.0,249.0,401.0,307.0,528.0,434.0,755.0,360.0,257.0,246.0,146.0,229.0,1002.0,1490.0,729.0,615.0,867.0,758.0,632.0,563.0,249.0,136.0,479.0,372.0,545.0,447.0,206.0,313.0,242.0,408.0,299.0,191.0,369.0,415.0,400.0,350.0,175.0,151.0,221.0,113.0,549.0,364.0,355.0,51.0,172.0,99.0,74.0,64.0,17.0,15.0,24.0,94.0,180.0,90.0,232.0,62.0
여성,20대,사각체형,1896.0,1613.0,1502.0,1374.0,1309.0,1319.0,1211.0,999.0,785.0,726.0,734.0,1005.0,946.0,866.0,412.0,266.0,265.0,232.0,265.0,322.0,88.0,176.0,202.0,169.0,173.0,204.0,278.0,648.0,661.0,218.0,85.0,52.0,328.0,387.0,317.0,312.0,171.0,,364.0,810.0,807.0,707.0,659.0,725.0,901.0,532.0,466.0,346.0,320.0,334.0,204.0,233.0,122.0,167.0,385.0,441.0,979.0,1396.0,280.0,384.0,352.0,334.0,323.0,476.0,246.0,401.0,307.0,533.0,436.0,751.0,363.0,249.0,243.0,146.0,233.0,1015.0,1492.0,722.0,611.0,876.0,764.0,639.0,575.0,261.0,131.0,482.0,381.0,542.0,447.0,200.0,310.0,247.0,416.0,307.0,185.0,352.0,400.0,390.0,344.0,177.0,152.0,221.0,114.0,549.0,362.0,343.0,53.0,177.0,103.0,76.0,66.0,17.0,15.0,24.0,98.0,179.0,91.0,233.0,63.0
남성,30대,작은 역삼각체형,2045.0,1738.0,1621.0,1488.0,1411.0,1422.0,1292.0,1060.0,848.0,797.0,773.0,1079.0,1034.0,927.0,448.0,313.0,304.0,279.0,291.0,330.0,118.0,211.0,217.0,212.0,208.0,238.0,282.0,691.0,695.0,218.0,84.0,69.8,356.0,403.0,365.0,363.0,,374.0,,963.0,920.0,,808.0,825.0,940.0,550.0,504.0,371.0,350.0,370.0,221.0,262.0,132.0,202.0,429.0,474.0,1041.0,1507.0,294.0,436.0,409.0,392.0,352.0,521.0,,436.0,348.0,601.0,487.0,853.0,433.0,300.0,290.0,167.0,212.0,1084.0,1619.0,760.0,665.0,930.0,814.0,681.0,605.0,255.0,150.0,521.0,415.0,580.0,485.0,233.0,350.0,273.0,459.0,334.0,227.0,401.0,471.0,476.0,342.0,184.0,159.0,240.0,119.0,569.0,374.0,351.0,58.0,191.0,110.0,84.0,71.0,19.0,16.0,26.0,100.0,208.0,102.0,252.0,69.0
남성,30대,큰 삼각체형,2030.0,1718.0,1603.0,1474.0,1399.0,1407.0,1282.0,1065.0,845.0,781.0,773.0,1058.0,1008.0,925.0,446.0,330.0,317.0,298.0,309.0,340.0,123.0,221.0,235.0,237.0,230.0,253.0,277.0,693.0,707.0,247.0,98.0,77.6,365.0,419.0,370.0,379.0,,393.0,,1000.0,968.0,,883.0,897.0,984.0,590.0,534.0,379.0,356.0,387.0,230.0,264.0,135.0,204.0,442.0,491.0,1048.0,1501.0,289.0,436.0,413.0,404.0,361.0,532.0,,445.0,333.0,577.0,466.0,826.0,451.0,321.0,300.0,171.0,209.0,1059.0,1673.0,790.0,685.0,930.0,816.0,687.0,610.0,272.0,162.0,515.0,400.0,573.0,469.0,258.0,337.0,268.0,451.0,329.0,255.0,399.0,480.0,491.0,360.0,185.0,161.0,237.0,121.0,577.0,379.0,370.0,57.0,186.0,107.0,85.0,70.0,19.0,17.0,27.0,99.0,209.0,100.0,252.0,70.0
남성,30대,역삼각체형,1987.0,1686.0,1571.0,1440.0,1360.0,1370.0,1245.0,1028.0,812.0,756.0,749.0,1034.0,984.0,886.0,427.0,324.0,312.0,287.0,299.0,333.0,121.0,214.0,224.0,227.0,221.0,247.0,278.0,684.0,690.0,229.0,97.0,72.3,352.0,407.0,370.0,371.0,,384.0,,988.0,948.0,,847.0,858.0,962.0,569.0,520.0,372.0,348.0,380.0,227.0,262.0,139.0,200.0,426.0,475.0,1019.0,1458.0,280.0,450.0,426.0,411.0,358.0,521.0,,433.0,330.0,569.0,462.0,823.0,439.0,313.0,294.0,169.0,214.0,1039.0,1637.0,782.0,677.0,920.0,805.0,675.0,593.0,259.0,155.0,498.0,390.0,562.0,457.0,250.0,332.0,262.0,441.0,321.0,245.0,410.0,478.0,479.0,352.0,185.0,162.0,238.0,121.0,574.0,382.0,366.0,56.0,184.0,107.0,85.0,69.0,19.0,17.0,27.0,98.0,209.0,100.0,248.0,68.0
