브랜드,isAnchor,fit,소재,정규화실루엣,성별,product,size,총장,허리단면,엉덩이단면,허벅지단면,밑위,밑단단면,비고
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,26,102,35,44.5,29.3,26,20,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,27,102,36.3,45.75,29.9,26,20.3,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,28,103,37.5,47,30.5,26.5,20.5,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,29,103,38.8,48.25,31.1,26.5,20.8,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,30,104,40,49.5,31.8,27,21,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,31,104,41.3,50.75,32.4,27,21.3,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,32,104,42.5,52,33,27.5,21.5,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,33,104,43.8,53.25,33.6,28,21.8,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,34,105,45,54.5,34.3,28.5,22,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,36,105,47.5,57,35.5,29.5,22.5,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,38,106,50,59.5,36.8,30.5,23,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,40,106,52.5,62,38,31.5,23.5,
무신사스탠다드,true,세미와이드,slacks,wide,남성,세미 와이드 히든 밴딩 슬랙스,42,107,55,64.5,39.3,32.5,24,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,26,103,35,51.5,33,28,25.5,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,27,103,36.3,52.75,33.6,28,25.8,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,28,104,37.5,54,34.3,28.5,26,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,29,104,38.8,55.25,34.9,28.5,26.3,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,30,105,40,56.5,35.5,29,26.5,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,31,105,41.3,57.75,36.1,29,26.8,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,32,105,42.5,59,36.8,29.5,27,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,33,105,43.8,60.25,37.4,30,27.3,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,34,106,45,61.5,38,30.5,27.5,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,36,106,47.5,64,39.3,31.5,28,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,38,107,50,66.5,40.5,32.5,28.5,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,40,107,52.5,69,41.8,33.5,29,
무신사스탠다드,true,리얼와이드,slacks,wide,남성,리얼 와이드 히든 밴딩 슬랙스,42,108,55,71.5,43,34.5,29.5,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,26,103,35,48,30.8,27,22.5,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,27,103,36.3,49.25,31.4,27,22.8,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,28,104,37.5,50.5,32,27.5,23,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,29,104,38.8,51.75,32.6,27.5,23.3,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,30,105,40,53,33.3,28,23.5,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,31,105,41.3,54.25,33.9,28,23.8,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,32,105,42.5,55.5,34.5,28.5,24,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,33,105,43.8,56.75,35.1,29,24.3,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,34,106,45,58,35.8,29.5,24.5,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,36,106,47.5,60.5,37,30.5,25,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,38,107,50,63,38.3,31.5,25.5,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,40,107,52.5,65.5,39.5,32.5,26,
무신사스탠다드,true,와이드,slacks,wide,남성,와이드 히든 밴딩 슬랙스,42,108,55,68,40.8,33.5,26.5,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,26,99,35,44.5,27.8,26.5,19.5,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,27,99,36.3,45.75,28.3,26.5,19.8,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,28,100,37.5,47,29,27,20,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,29,100,38.8,48.25,29.6,27,20.2,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,30,101,40,49.5,30.3,27.5,20.5,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,31,101,41.3,50.75,30.8,27.5,20.8,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,32,101,42.5,52,31.5,28,21,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,33,101,43.8,53.25,32.1,28.5,21.3,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,34,102,45,54.5,32.8,29,21.5,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,36,102,47.5,57,34,29.5,22,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,38,103,50,59.5,35.3,31,22.5,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,40,103,52.5,62,36.5,32,23,
무신사스탠다드,true,스트레이트,slacks,straight,남성,스트레이트 히든 밴딩 슬랙스,42,104,55,64.5,37.8,33,23.5,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,26,105,35,47.5,29.8,27.5,21.5,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,27,105,36.3,48.75,30.4,27.5,21.8,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,28,106,37.5,50,31,28,22,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,29,106,38.8,51.25,31.6,28,22.3,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,30,107,40,52.5,32.3,28.5,22.5,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,31,107,41.3,53.75,32.9,28.5,22.8,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,32,107,42.5,55,33.5,29,23,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,33,107,43.8,56.25,34.1,29.5,23.3,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,34,108,45,57.5,34.8,30,23.5,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,36,108,47.5,60,36,31,24,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,38,109,50,62.5,37.3,32,24.5,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,40,109,52.5,65,38.5,33,25,
무신사스탠다드,true,레귤러,other,straight,남성,레플리카 퍼티그 팬츠,42,110,55,67.5,39.8,34,25.5,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,27,107.5,36.75,46.75,33.25,29.5,24.75,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,28,108,38,48,33.9,30,25,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,29,108.5,39.25,49.25,34.55,30.5,25.25,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,30,109,40.5,50.5,35.2,31,25.5,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,31,109.5,41.75,51.75,35.85,31.5,25.75,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,32,110,43,53,36.5,32,26,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,33,110.5,44.25,54.25,37.15,32.5,26.25,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,34,111,45.5,55.5,37.8,33,26.5,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,36,112,48,58,39.1,34,27,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,38,113,50.5,60.5,40.4,35,27.5,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,40,114,53,63,41.7,35.5,28,
무신사스탠다드,true,와이드,denim,wide,남성,커브드 데님 팬츠,42,114,55.5,65.5,43,35.5,28.5,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,26,105,35.5,47.5,31.3,30,24.5,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,27,105,36.75,48.8,31.9,30,24.75,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,28,106,38,50,32.5,30.5,25,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,29,106,39.25,51.3,33.1,30.5,25.25,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,30,107,40.5,52.5,33.8,31,25.5,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,31,107,41.75,53.8,34.4,31,25.75,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,32,107,43,55,35,31.5,26,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,33,107,44.25,56.3,35.6,32,26.25,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,34,108,45.5,57.5,36.3,32.5,26.5,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,36,108,48,60,37.5,33.5,27,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,38,109,50.5,62.5,38.8,34.5,27.5,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,40,109,53,65,40,35.5,28,
무신사스탠다드,true,와이드,denim,wide,남성,와이드 데님 팬츠,42,110,55.5,67.5,41.3,36.5,28.5,
무신사스탠다드,true,스트레이트,denim,straight,남성,스트레이트 데님 팬츠,26,101,35,44.5,27.3,27,19.9,
무신사스탠다드,true,스트레이트,denim,straight,남성,스트레이트 데님 팬츠,27,101,36.25,45.75,27.9,27,20.25,
무신사스탠다드,true,스트레이트,denim,straight,남성,스트레이트 데님 팬츠,28,102,37.5,47,28.5,27.5,20.6,
무신사스탠다드,true,스트레이트,denim,straight,남성,스트레이트 데님 팬츠,29,102,38.75,48.25,29.1,27.5,20.95,
무신사스탠다드,true,스트레이트,denim,straight,남성,스트레이트 데님 팬츠,30,103,40,49.5,29.8,28,21.3,
