브랜드,fit,성별,product,size,총장,어깨너비,가슴단면,소매길이,비고
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),XS,65.5,37.5,47.5,76,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),S,67.5,39,50.5,77.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),M,70.5,40.5,53.5,80,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),L,73.5,42,56.5,82.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),XL,76.5,44,60.5,85,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),XXL,78.5,46,64.5,86,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),3XL,78.5,48,68.5,87,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,와플헨리넥T(긴팔),4XL,79,50,72.5,88,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),XS,64.5,44.5,49,79.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),S,66.5,46,52,81,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),M,69.5,47.5,55,83.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),L,72.5,49,58,86,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),XL,75.5,51,62,88.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),XXL,77.5,53,66,89.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),3XL,77.5,55,70,90.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,공용,AIRism코튼크루넥T(긴팔),4XL,78,57,74,91.5,소매길이 :등 중심부터 소매까지 길이
유니클로,레귤러핏,남성,프리미엄리넨셔츠,S,71,45,52,80,
유니클로,레귤러핏,남성,프리미엄리넨셔츠,M,73,46.5,55,82.5,
유니클로,레귤러핏,남성,프리미엄리넨셔츠,L,75,48,58,85,
유니클로,레귤러핏,남성,프리미엄리넨셔츠,XL,78,50,62,87.5,
유니클로,레귤러핏,남성,프리미엄리넨셔츠,XXL,79,52,66,89.5,
유니클로,레귤러핏,남성,프리미엄리넨셔츠,3XL,80,54,70,90.5,
유니클로,레귤러핏,남성,프리미엄리넨셔츠,4XL,81,56,74,91.5,
유니클로,레귤러핏,남성,브로드클로스셔츠(버튼다운칼라),S,73,45,53.5,80.5,
유니클로,레귤러핏,남성,브로드클로스셔츠(버튼다운칼라),M,75,46.5,56.5,83,
유니클로,레귤러핏,남성,브로드클로스셔츠(버튼다운칼라),L,77,48,59.5,85.5,
유니클로,레귤러핏,남성,브로드클로스셔츠(버튼다운칼라),XL,80,50,63.5,88,
유니클로,레귤러핏,남성,브로드클로스셔츠(버튼다운칼라),XXL,81,52,67.5,90,
유니클로,레귤러핏,남성,브로드클로스셔츠(버튼다운칼라),3XL,82,54,71.5,91,
유니클로,레귤러핏,남성,브로드클로스셔츠(버튼다운칼라),4XL,83,56,75.5,92,
유니클로,오버핏,남성,옥스포드오버사이즈셔츠,S,75,50.5,59,81.5,
유니클로,오버핏,남성,옥스포드오버사이즈셔츠,M,77,52,62,84,
유니클로,오버핏,남성,옥스포드오버사이즈셔츠,L,79,53.5,65,86.5,
유니클로,오버핏,남성,옥스포드오버사이즈셔츠,XL,82,55.5,69,89,
유니클로,오버핏,남성,옥스포드오버사이즈셔츠,XXL,83,57.5,73,91,
유니클로,오버핏,남성,옥스포드오버사이즈셔츠,3XL,84,59.5,77,92,
유니클로,오버핏,남성,옥스포드오버사이즈셔츠,4XL,85,61.5,81,93,
유니클로,오버핏,남성,옥스포드셔츠,M,75,46.5,57,83,
유니클로,오버핏,남성,옥스포드셔츠,L,77,48,60,85.5,
유니클로,오버핏,남성,옥스포드셔츠,XL,80,50,64,88,
유니클로,오버핏,남성,옥스포드셔츠,XXL,81,52,68,90,
유니클로,오버핏,남성,옥스포드셔츠,3XL,82,54,72,91,
유니클로,오버핏,남성,옥스포드셔츠,4XL,83,56,76,92,
유니클로,레귤러핏,여성,프리미엄리넨셔츠,XS,63,40,47.5,73.5,
유니클로,레귤러핏,여성,프리미엄리넨셔츠,S,65,41,49.5,75.5,
유니클로,레귤러핏,여성,프리미엄리넨셔츠,M,67,42,51.5,77.5,
유니클로,레귤러핏,여성,프리미엄리넨셔츠,L,69,43,53.5,79,
유니클로,레귤러핏,여성,프리미엄리넨셔츠,XL,71,44.5,56.5,80,
유니클로,레귤러핏,여성,프리미엄리넨셔츠,XXL,72,45.5,59.5,80.5,
