code,성별,상품명,현재가,할인,소매
p04374422,남성,워싱 텍스트 프린트 티셔츠,"₩49,900",,반팔
p06224427,남성,배색 하트 리브드 티셔츠,"₩45,900",,긴팔
p04087400,남성,와플 텍스처 티셔츠,"₩45,900",,반팔
p01887369,남성,AARON LEVINE X ZARA 포켓 긴소매 티셔츠,"₩59,900",,긴팔
p06224446,남성,하트 스탬핑 티셔츠,"₩45,900",,반팔
p06462409,남성,헤비웨이트 크루넥 티셔츠,"₩55,900",,긴팔
p06224809,남성,머메이드 프린트 릴렉스 핏 티셔츠,"₩49,900",,반팔
p00761414,남성,배색 리브 베이직 티셔츠,"₩35,900",,
p05644409,남성,자카드 스트라이프 티셔츠,"₩59,900",,긴팔
p06224460,남성,워싱 텍스트 박시핏 티셔츠,"₩45,900",,긴팔
p00526398,남성,아론 레빈 X ZARA 와플 텍스처 티셔츠,"₩59,900",,긴팔
p04805420,남성,슬림핏 스트럭처 니트 티셔츠,"₩45,900",,
p04231420,남성,언밸런스 마감 니트 티셔츠,"₩45,900",,
p00722402,남성,라이오셀-코튼 라이트 티셔츠,"₩59,900",,긴팔
p04805405,남성,릴렉스핏 워싱 니트 티셔츠,"₩49,900",,반팔
p06224817,남성,워싱 텍스트 프린트 티셔츠,"₩49,900",,긴팔
p05755460,남성,코튼 라이트 니트 티셔츠,"₩55,900",,반팔
p03992449,남성,릴렉스핏 패치 티셔츠,"₩49,900",,반팔
p04087425,남성,넘버 와플 티셔츠,"₩55,900",,
p06224818,남성,빈티지 워싱 박시 핏 티셔츠,"₩55,900",,
p03992478,남성,린넨-비스코스 티셔츠,"₩49,900",,반팔
p05584400,남성,이중 배색 디테일 티셔츠,"₩55,900",,긴팔
p06224668,남성,콤비 프린트 티셔츠,"₩45,900",,반팔
p04092443,남성,미디엄 웨이트 반소매 티셔츠,"₩45,900",,반팔
p00526403,남성,버튼 라운드넥 티셔츠,"₩49,900",,긴팔
p06224491,남성,텍스트 자수 티셔츠,"₩49,900",,반팔
p05644410,남성,릴렉스핏 스티치 티셔츠,"₩49,900",,
p05584461,남성,릴랙스 핏 자수 티셔츠,"₩49,900",,반팔
p06019390,남성,슬림핏 베이직 티셔츠,"₩35,900",,긴팔
p00722454,남성,워싱 탱크 티셔츠,"₩45,900",,반팔
p06224433,남성,콘트라스트 하트 리브드 티셔츠,"₩45,900",,
p06224581,남성,콘트라스트 자수 티셔츠,"₩45,900",,
p05644599,남성,콘트라스트 패턴 리브드 티셔츠,"₩45,900",,반팔
p02621406,남성,워시드 스트럭처 니트 티셔츠,"₩55,900",,긴팔
p00495452,남성,워시드 텍스트 릴렉스핏 티셔츠,"₩45,900",,
p05644405,남성,워싱 프린트 티셔츠,"₩45,900",,반팔
p05644402,남성,스트럭처 레귤러핏 티셔츠,"₩49,900",,긴팔
p04087439,남성,릴렉스핏 슬러브 스트럭처 티셔츠,"₩55,900",,긴팔
p05644400,남성,베이직 리브드 티셔츠,"₩45,900",,반팔
p04805418,남성,워시드 프린트 니트 티셔츠,"₩55,900",,
p01887407,남성,컬러 블록 티셔츠,"₩55,900",,긴팔
p00962414,남성,콘트라스트 프린트 티셔츠,"₩45,900",,반팔
p04805449,남성,스프레이 텍스트 니트 티셔츠,"₩49,900",,
